slug,category,title,description,priority,haloscan_volume,haloscan_kd,haloscan_cpc
poubelle-2l-cave,volume-usage,Poubelle 2L cave,,high,,,
poubelle-2l-van,volume-usage,Poubelle 2L van,,high,,,
poubelle-2l-camping-car,volume-usage,Poubelle 2L camping-car,,high,,,
poubelle-2l-camping,volume-usage,Poubelle 2L camping,,high,,,
poubelle-2l-bateaux,volume-usage,Poubelle 2L bateau,,high,,,
poubelle-2l-restaurant,volume-usage,Poubelle 2L restaurant,,high,,,
poubelle-2l-hotel,volume-usage,Poubelle 2L hôtel,,high,,,
poubelle-2l-bureau-open-space,volume-usage,Poubelle 2L open space,,high,,,
poubelle-2l-ecole,volume-usage,Poubelle 2L école,,high,,,
poubelle-2l-hopital,volume-usage,Poubelle 2L hôpital,,high,,,
poubelle-2l-collectivites,volume-usage,Poubelle 2L collectivités,,high,,,
poubelle-2l-industrie,volume-usage,Poubelle 2L industrie,,high,,,
poubelle-3l-cuisine,volume-usage,Poubelle 3L cuisine,,high,,,
poubelle-3l-salle-de-bain,volume-usage,Poubelle 3L salle de bain,,high,,,
poubelle-3l-bureau,volume-usage,Poubelle 3L bureau,,high,,,
poubelle-3l-salon,volume-usage,Poubelle 3L salon,,high,,,
poubelle-3l-chambre,volume-usage,Poubelle 3L chambre,,high,,,
poubelle-3l-garage,volume-usage,Poubelle 3L garage,,high,,,
poubelle-3l-jardin,volume-usage,Poubelle 3L jardin,,high,,,
poubelle-3l-exterieur,volume-usage,Poubelle 3L extérieur,,high,,,
poubelle-3l-terrasse,volume-usage,Poubelle 3L terrasse,,high,,,
poubelle-3l-cave,volume-usage,Poubelle 3L cave,,high,,,
poubelle-3l-van,volume-usage,Poubelle 3L van,,high,,,
poubelle-3l-camping-car,volume-usage,Poubelle 3L camping-car,,high,,,
poubelle-3l-camping,volume-usage,Poubelle 3L camping,,high,,,
poubelle-3l-bateaux,volume-usage,Poubelle 3L bateau,,high,,,
poubelle-3l-restaurant,volume-usage,Poubelle 3L restaurant,,high,,,
poubelle-3l-hotel,volume-usage,Poubelle 3L hôtel,,high,,,
poubelle-3l-bureau-open-space,volume-usage,Poubelle 3L open space,,high,,,
poubelle-3l-ecole,volume-usage,Poubelle 3L école,,high,,,
poubelle-3l-hopital,volume-usage,Poubelle 3L hôpital,,high,,,
poubelle-3l-collectivites,volume-usage,Poubelle 3L collectivités,,high,,,
poubelle-3l-industrie,volume-usage,Poubelle 3L industrie,,high,,,
poubelle-5l-cuisine,volume-usage,Poubelle 5L cuisine,,high,,,
poubelle-5l-salle-de-bain,volume-usage,Poubelle 5L salle de bain,,high,20,NA,0.62
poubelle-5l-bureau,volume-usage,Poubelle 5L bureau,,high,,,
poubelle-5l-salon,volume-usage,Poubelle 5L salon,,high,,,
poubelle-5l-chambre,volume-usage,Poubelle 5L chambre,,high,,,
poubelle-5l-garage,volume-usage,Poubelle 5L garage,,high,,,
poubelle-5l-jardin,volume-usage,Poubelle 5L jardin,,high,,,
poubelle-5l-exterieur,volume-usage,Poubelle 5L extérieur,,high,,,
poubelle-5l-terrasse,volume-usage,Poubelle 5L terrasse,,high,,,
poubelle-5l-cave,volume-usage,Poubelle 5L cave,,high,,,
poubelle-5l-van,volume-usage,Poubelle 5L van,,high,,,
poubelle-5l-camping-car,volume-usage,Poubelle 5L camping-car,,high,,,
poubelle-5l-camping,volume-usage,Poubelle 5L camping,,high,,,
poubelle-5l-bateaux,volume-usage,Poubelle 5L bateau,,high,,,
poubelle-5l-restaurant,volume-usage,Poubelle 5L restaurant,,high,,,
poubelle-5l-hotel,volume-usage,Poubelle 5L hôtel,,high,,,
poubelle-5l-bureau-open-space,volume-usage,Poubelle 5L open space,,high,,,
poubelle-5l-ecole,volume-usage,Poubelle 5L école,,high,,,
poubelle-5l-hopital,volume-usage,Poubelle 5L hôpital,,high,,,
poubelle-5l-collectivites,volume-usage,Poubelle 5L collectivités,,high,,,
poubelle-5l-industrie,volume-usage,Poubelle 5L industrie,,high,,,
poubelle-7l-cuisine,volume-usage,Poubelle 7L cuisine,,high,,,
poubelle-7l-salle-de-bain,volume-usage,Poubelle 7L salle de bain,,high,,,
poubelle-7l-bureau,volume-usage,Poubelle 7L bureau,,high,,,
poubelle-7l-salon,volume-usage,Poubelle 7L salon,,high,,,
poubelle-7l-chambre,volume-usage,Poubelle 7L chambre,,high,,,
poubelle-7l-garage,volume-usage,Poubelle 7L garage,,high,,,
poubelle-7l-jardin,volume-usage,Poubelle 7L jardin,,high,,,
poubelle-7l-exterieur,volume-usage,Poubelle 7L extérieur,,high,,,
poubelle-7l-terrasse,volume-usage,Poubelle 7L terrasse,,high,,,
poubelle-7l-cave,volume-usage,Poubelle 7L cave,,high,,,
poubelle-7l-van,volume-usage,Poubelle 7L van,,high,,,
poubelle-7l-camping-car,volume-usage,Poubelle 7L camping-car,,high,,,
poubelle-7l-camping,volume-usage,Poubelle 7L camping,,high,,,
poubelle-7l-bateaux,volume-usage,Poubelle 7L bateau,,high,,,
poubelle-7l-restaurant,volume-usage,Poubelle 7L restaurant,,high,,,
poubelle-7l-hotel,volume-usage,Poubelle 7L hôtel,,high,,,
poubelle-7l-bureau-open-space,volume-usage,Poubelle 7L open space,,high,,,
poubelle-7l-ecole,volume-usage,Poubelle 7L école,,high,,,
poubelle-7l-hopital,volume-usage,Poubelle 7L hôpital,,high,,,
poubelle-7l-collectivites,volume-usage,Poubelle 7L collectivités,,high,,,
poubelle-7l-industrie,volume-usage,Poubelle 7L industrie,,high,,,
poubelle-8l-cuisine,volume-usage,Poubelle 8L cuisine,,high,,,
poubelle-8l-salle-de-bain,volume-usage,Poubelle 8L salle de bain,,high,,,
poubelle-8l-bureau,volume-usage,Poubelle 8L bureau,,high,,,
poubelle-8l-salon,volume-usage,Poubelle 8L salon,,high,,,
poubelle-8l-chambre,volume-usage,Poubelle 8L chambre,,high,,,
poubelle-8l-garage,volume-usage,Poubelle 8L garage,,high,,,
poubelle-8l-jardin,volume-usage,Poubelle 8L jardin,,high,,,
poubelle-8l-exterieur,volume-usage,Poubelle 8L extérieur,,high,,,
poubelle-8l-terrasse,volume-usage,Poubelle 8L terrasse,,high,,,
poubelle-8l-cave,volume-usage,Poubelle 8L cave,,high,,,
poubelle-8l-van,volume-usage,Poubelle 8L van,,high,,,
poubelle-8l-camping-car,volume-usage,Poubelle 8L camping-car,,high,,,
poubelle-8l-camping,volume-usage,Poubelle 8L camping,,high,,,
poubelle-8l-bateaux,volume-usage,Poubelle 8L bateau,,high,,,
poubelle-8l-restaurant,volume-usage,Poubelle 8L restaurant,,high,,,
poubelle-8l-hotel,volume-usage,Poubelle 8L hôtel,,high,,,
poubelle-8l-bureau-open-space,volume-usage,Poubelle 8L open space,,high,,,
poubelle-8l-ecole,volume-usage,Poubelle 8L école,,high,,,
poubelle-8l-hopital,volume-usage,Poubelle 8L hôpital,,high,,,
poubelle-8l-collectivites,volume-usage,Poubelle 8L collectivités,,high,,,
poubelle-8l-industrie,volume-usage,Poubelle 8L industrie,,high,,,
poubelle-10l-cuisine,volume-usage,Poubelle 10L cuisine,,high,NA,NA,NA
poubelle-10l-salle-de-bain,volume-usage,Poubelle 10L salle de bain,,high,40,NA,0.31
poubelle-10l-bureau,volume-usage,Poubelle 10L bureau,,high,,,
poubelle-10l-salon,volume-usage,Poubelle 10L salon,,high,,,
poubelle-10l-chambre,volume-usage,Poubelle 10L chambre,,high,,,
poubelle-10l-garage,volume-usage,Poubelle 10L garage,,high,,,
poubelle-10l-jardin,volume-usage,Poubelle 10L jardin,,high,,,
poubelle-10l-exterieur,volume-usage,Poubelle 10L extérieur,,high,,,
poubelle-10l-terrasse,volume-usage,Poubelle 10L terrasse,,high,,,
poubelle-10l-cave,volume-usage,Poubelle 10L cave,,high,,,
poubelle-10l-van,volume-usage,Poubelle 10L van,,high,,,
poubelle-10l-camping-car,volume-usage,Poubelle 10L camping-car,,high,,,
poubelle-10l-camping,volume-usage,Poubelle 10L camping,,high,,,
poubelle-10l-bateaux,volume-usage,Poubelle 10L bateau,,high,,,
poubelle-10l-restaurant,volume-usage,Poubelle 10L restaurant,,high,,,
poubelle-10l-hotel,volume-usage,Poubelle 10L hôtel,,high,,,
poubelle-10l-bureau-open-space,volume-usage,Poubelle 10L open space,,high,,,
poubelle-10l-ecole,volume-usage,Poubelle 10L école,,high,,,
poubelle-10l-hopital,volume-usage,Poubelle 10L hôpital,,high,,,
poubelle-10l-collectivites,volume-usage,Poubelle 10L collectivités,,high,,,
poubelle-10l-industrie,volume-usage,Poubelle 10L industrie,,high,,,
poubelle-12l-cuisine,volume-usage,Poubelle 12L cuisine,,high,,,
poubelle-12l-salle-de-bain,volume-usage,Poubelle 12L salle de bain,,high,,,
poubelle-12l-bureau,volume-usage,Poubelle 12L bureau,,high,,,
poubelle-12l-salon,volume-usage,Poubelle 12L salon,,high,,,
poubelle-12l-chambre,volume-usage,Poubelle 12L chambre,,high,,,
poubelle-12l-garage,volume-usage,Poubelle 12L garage,,high,,,
poubelle-12l-jardin,volume-usage,Poubelle 12L jardin,,high,,,
poubelle-12l-exterieur,volume-usage,Poubelle 12L extérieur,,high,,,
poubelle-12l-terrasse,volume-usage,Poubelle 12L terrasse,,high,,,
poubelle-12l-cave,volume-usage,Poubelle 12L cave,,high,,,
poubelle-12l-van,volume-usage,Poubelle 12L van,,high,,,
poubelle-12l-camping-car,volume-usage,Poubelle 12L camping-car,,high,,,
poubelle-12l-camping,volume-usage,Poubelle 12L camping,,high,,,
poubelle-12l-bateaux,volume-usage,Poubelle 12L bateau,,high,,,
poubelle-12l-restaurant,volume-usage,Poubelle 12L restaurant,,high,,,
poubelle-12l-hotel,volume-usage,Poubelle 12L hôtel,,high,,,
poubelle-12l-bureau-open-space,volume-usage,Poubelle 12L open space,,high,,,
poubelle-12l-ecole,volume-usage,Poubelle 12L école,,high,,,
poubelle-12l-hopital,volume-usage,Poubelle 12L hôpital,,high,,,
poubelle-12l-collectivites,volume-usage,Poubelle 12L collectivités,,high,,,
poubelle-12l-industrie,volume-usage,Poubelle 12L industrie,,high,,,
poubelle-15l-cuisine,volume-usage,Poubelle 15L cuisine,,high,,,
poubelle-15l-salle-de-bain,volume-usage,Poubelle 15L salle de bain,,high,,,
poubelle-15l-bureau,volume-usage,Poubelle 15L bureau,,high,,,
poubelle-15l-salon,volume-usage,Poubelle 15L salon,,high,,,
poubelle-15l-chambre,volume-usage,Poubelle 15L chambre,,high,,,
poubelle-15l-garage,volume-usage,Poubelle 15L garage,,high,,,
poubelle-15l-jardin,volume-usage,Poubelle 15L jardin,,high,,,
poubelle-15l-exterieur,volume-usage,Poubelle 15L extérieur,,high,,,
poubelle-15l-terrasse,volume-usage,Poubelle 15L terrasse,,high,,,
poubelle-15l-cave,volume-usage,Poubelle 15L cave,,high,,,
poubelle-15l-van,volume-usage,Poubelle 15L van,,high,,,
poubelle-15l-camping-car,volume-usage,Poubelle 15L camping-car,,high,,,
poubelle-15l-camping,volume-usage,Poubelle 15L camping,,high,,,
poubelle-15l-bateaux,volume-usage,Poubelle 15L bateau,,high,,,
poubelle-15l-restaurant,volume-usage,Poubelle 15L restaurant,,high,,,
poubelle-15l-hotel,volume-usage,Poubelle 15L hôtel,,high,,,
poubelle-15l-bureau-open-space,volume-usage,Poubelle 15L open space,,high,,,
poubelle-15l-ecole,volume-usage,Poubelle 15L école,,high,,,
poubelle-15l-hopital,volume-usage,Poubelle 15L hôpital,,high,,,
poubelle-15l-collectivites,volume-usage,Poubelle 15L collectivités,,high,,,
poubelle-15l-industrie,volume-usage,Poubelle 15L industrie,,high,,,
poubelle-16l-cuisine,volume-usage,Poubelle 16L cuisine,,high,,,
poubelle-16l-salle-de-bain,volume-usage,Poubelle 16L salle de bain,,high,,,
poubelle-16l-bureau,volume-usage,Poubelle 16L bureau,,high,,,
poubelle-16l-salon,volume-usage,Poubelle 16L salon,,high,,,
poubelle-16l-chambre,volume-usage,Poubelle 16L chambre,,high,,,
poubelle-16l-garage,volume-usage,Poubelle 16L garage,,high,,,
poubelle-16l-jardin,volume-usage,Poubelle 16L jardin,,high,,,
poubelle-16l-exterieur,volume-usage,Poubelle 16L extérieur,,high,,,
poubelle-16l-terrasse,volume-usage,Poubelle 16L terrasse,,high,,,
poubelle-16l-cave,volume-usage,Poubelle 16L cave,,high,,,
poubelle-16l-van,volume-usage,Poubelle 16L van,,high,,,
poubelle-16l-camping-car,volume-usage,Poubelle 16L camping-car,,high,,,
poubelle-16l-camping,volume-usage,Poubelle 16L camping,,high,,,
poubelle-16l-bateaux,volume-usage,Poubelle 16L bateau,,high,,,
poubelle-16l-restaurant,volume-usage,Poubelle 16L restaurant,,high,,,
poubelle-16l-hotel,volume-usage,Poubelle 16L hôtel,,high,,,
poubelle-16l-bureau-open-space,volume-usage,Poubelle 16L open space,,high,,,
poubelle-16l-ecole,volume-usage,Poubelle 16L école,,high,,,
poubelle-16l-hopital,volume-usage,Poubelle 16L hôpital,,high,,,
poubelle-16l-collectivites,volume-usage,Poubelle 16L collectivités,,high,,,
poubelle-16l-industrie,volume-usage,Poubelle 16L industrie,,high,,,
poubelle-20l-cuisine,volume-usage,Poubelle 20L cuisine,,high,90,NA,0.77
poubelle-20l-salle-de-bain,volume-usage,Poubelle 20L salle de bain,,high,,,
poubelle-20l-bureau,volume-usage,Poubelle 20L bureau,,high,,,
poubelle-20l-salon,volume-usage,Poubelle 20L salon,,high,,,
poubelle-20l-chambre,volume-usage,Poubelle 20L chambre,,high,,,
poubelle-20l-garage,volume-usage,Poubelle 20L garage,,high,,,
poubelle-20l-jardin,volume-usage,Poubelle 20L jardin,,high,,,
poubelle-20l-exterieur,volume-usage,Poubelle 20L extérieur,,high,,,
poubelle-20l-terrasse,volume-usage,Poubelle 20L terrasse,,high,,,
poubelle-20l-cave,volume-usage,Poubelle 20L cave,,high,,,
poubelle-20l-van,volume-usage,Poubelle 20L van,,high,,,
poubelle-20l-camping-car,volume-usage,Poubelle 20L camping-car,,high,,,
poubelle-20l-camping,volume-usage,Poubelle 20L camping,,high,,,
poubelle-20l-bateaux,volume-usage,Poubelle 20L bateau,,high,,,
poubelle-20l-restaurant,volume-usage,Poubelle 20L restaurant,,high,,,
poubelle-20l-hotel,volume-usage,Poubelle 20L hôtel,,high,,,
poubelle-20l-bureau-open-space,volume-usage,Poubelle 20L open space,,high,,,
poubelle-20l-ecole,volume-usage,Poubelle 20L école,,high,,,
poubelle-20l-hopital,volume-usage,Poubelle 20L hôpital,,high,,,
poubelle-20l-collectivites,volume-usage,Poubelle 20L collectivités,,high,,,
poubelle-20l-industrie,volume-usage,Poubelle 20L industrie,,high,,,
poubelle-25l-cuisine,volume-usage,Poubelle 25L cuisine,,high,,,
poubelle-25l-salle-de-bain,volume-usage,Poubelle 25L salle de bain,,high,,,
poubelle-25l-bureau,volume-usage,Poubelle 25L bureau,,high,,,
poubelle-25l-salon,volume-usage,Poubelle 25L salon,,high,,,
poubelle-25l-chambre,volume-usage,Poubelle 25L chambre,,high,,,
poubelle-25l-garage,volume-usage,Poubelle 25L garage,,high,,,
poubelle-25l-jardin,volume-usage,Poubelle 25L jardin,,high,,,
poubelle-25l-exterieur,volume-usage,Poubelle 25L extérieur,,high,,,
poubelle-25l-terrasse,volume-usage,Poubelle 25L terrasse,,high,,,
poubelle-25l-cave,volume-usage,Poubelle 25L cave,,high,,,
poubelle-25l-van,volume-usage,Poubelle 25L van,,high,,,
poubelle-25l-camping-car,volume-usage,Poubelle 25L camping-car,,high,,,
poubelle-25l-camping,volume-usage,Poubelle 25L camping,,high,,,
poubelle-25l-bateaux,volume-usage,Poubelle 25L bateau,,high,,,
poubelle-25l-restaurant,volume-usage,Poubelle 25L restaurant,,high,,,
poubelle-25l-hotel,volume-usage,Poubelle 25L hôtel,,high,,,
poubelle-25l-bureau-open-space,volume-usage,Poubelle 25L open space,,high,,,
poubelle-25l-ecole,volume-usage,Poubelle 25L école,,high,,,
poubelle-25l-hopital,volume-usage,Poubelle 25L hôpital,,high,,,
poubelle-25l-collectivites,volume-usage,Poubelle 25L collectivités,,high,,,
poubelle-25l-industrie,volume-usage,Poubelle 25L industrie,,high,,,
poubelle-30l-cuisine,volume-usage,Poubelle 30L cuisine,,high,40,NA,0.2498
poubelle-30l-salle-de-bain,volume-usage,Poubelle 30L salle de bain,,high,,,
poubelle-30l-bureau,volume-usage,Poubelle 30L bureau,,high,,,
poubelle-30l-salon,volume-usage,Poubelle 30L salon,,high,,,
poubelle-30l-chambre,volume-usage,Poubelle 30L chambre,,high,,,
poubelle-30l-garage,volume-usage,Poubelle 30L garage,,high,,,
poubelle-30l-jardin,volume-usage,Poubelle 30L jardin,,high,,,
poubelle-30l-exterieur,volume-usage,Poubelle 30L extérieur,,high,,,
poubelle-30l-terrasse,volume-usage,Poubelle 30L terrasse,,high,,,
poubelle-30l-cave,volume-usage,Poubelle 30L cave,,high,,,
poubelle-30l-van,volume-usage,Poubelle 30L van,,high,,,
poubelle-30l-camping-car,volume-usage,Poubelle 30L camping-car,,high,,,
poubelle-30l-camping,volume-usage,Poubelle 30L camping,,high,,,
poubelle-30l-bateaux,volume-usage,Poubelle 30L bateau,,high,,,
poubelle-30l-restaurant,volume-usage,Poubelle 30L restaurant,,high,,,
poubelle-30l-hotel,volume-usage,Poubelle 30L hôtel,,high,,,
poubelle-30l-bureau-open-space,volume-usage,Poubelle 30L open space,,high,,,
poubelle-30l-ecole,volume-usage,Poubelle 30L école,,high,,,
poubelle-30l-hopital,volume-usage,Poubelle 30L hôpital,,high,,,
poubelle-30l-collectivites,volume-usage,Poubelle 30L collectivités,,high,,,
poubelle-30l-industrie,volume-usage,Poubelle 30L industrie,,high,,,
poubelle-40l-cuisine,volume-usage,Poubelle 40L cuisine,,high,,,
poubelle-40l-salle-de-bain,volume-usage,Poubelle 40L salle de bain,,high,,,
poubelle-40l-bureau,volume-usage,Poubelle 40L bureau,,high,,,
poubelle-40l-salon,volume-usage,Poubelle 40L salon,,high,,,
poubelle-40l-chambre,volume-usage,Poubelle 40L chambre,,high,,,
poubelle-40l-garage,volume-usage,Poubelle 40L garage,,high,,,
poubelle-40l-jardin,volume-usage,Poubelle 40L jardin,,high,,,
poubelle-40l-exterieur,volume-usage,Poubelle 40L extérieur,,high,,,
poubelle-40l-terrasse,volume-usage,Poubelle 40L terrasse,,high,,,
poubelle-40l-cave,volume-usage,Poubelle 40L cave,,high,,,
poubelle-40l-van,volume-usage,Poubelle 40L van,,high,,,
poubelle-40l-camping-car,volume-usage,Poubelle 40L camping-car,,high,,,
poubelle-40l-camping,volume-usage,Poubelle 40L camping,,high,,,
poubelle-40l-bateaux,volume-usage,Poubelle 40L bateau,,high,,,
poubelle-40l-restaurant,volume-usage,Poubelle 40L restaurant,,high,,,
poubelle-40l-hotel,volume-usage,Poubelle 40L hôtel,,high,,,
poubelle-40l-bureau-open-space,volume-usage,Poubelle 40L open space,,high,,,
poubelle-40l-ecole,volume-usage,Poubelle 40L école,,high,,,
poubelle-40l-hopital,volume-usage,Poubelle 40L hôpital,,high,,,
poubelle-40l-collectivites,volume-usage,Poubelle 40L collectivités,,high,,,
poubelle-40l-industrie,volume-usage,Poubelle 40L industrie,,high,,,
poubelle-50l-cuisine,volume-usage,Poubelle 50L cuisine,,high,260,1120,0.33
poubelle-50l-salle-de-bain,volume-usage,Poubelle 50L salle de bain,,high,,,
poubelle-50l-bureau,volume-usage,Poubelle 50L bureau,,high,,,
poubelle-50l-salon,volume-usage,Poubelle 50L salon,,high,,,
poubelle-50l-chambre,volume-usage,Poubelle 50L chambre,,high,,,
poubelle-50l-garage,volume-usage,Poubelle 50L garage,,high,,,
poubelle-50l-jardin,volume-usage,Poubelle 50L jardin,,high,,,
poubelle-50l-exterieur,volume-usage,Poubelle 50L extérieur,,high,,,
poubelle-50l-terrasse,volume-usage,Poubelle 50L terrasse,,high,,,
